Code,Formula,Period,Entity,Option
VTJ41006,"VTJ41006' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ2,,
VPJ41092,VTJ41003+VTJ41004+VTJ41005+VTJ41006,PQ2,,
VPJ41093,(VPJ41086*VTJ41001)+VPJ41092,PQ2,,
VTJ41002,"VTJ41002' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))*VPJ41093-VTJ41005-VTJ41006/0.65",PQ2,,
VPJ41095,(VPJ41093-VTJ41002)*VTJ41001,PQ2,,
VPJ41096,YZSI4302,PQ2,,
VPJ41097,VPJ41095-VPJ41096,PQ2,,
VPJ41018,VAJ41018,PQ2,,
VPJ22012,YZSPB530+VPJ22010(PQ2)-VPJ22010(PQ1)+VPJ23003(PQ2)-VPJ23003(PQ1)+VPJ23002(PQ2)-VPJ23002(PQ1),PQ2,,
VPJ41189,YZSI3123+ROARW923+VPJ22012,PQ2,,
VPJ41099,VPJ41189*VTJ41010,PQ2,,
VPJ41098,VPJ41099+VPJ41018,PQ2,,
VPJ41102,VPJ41189*VTJ41011,PQ2,,
VPJ41019,VAJ41019,PQ2,,
VPJ41101,VPJ41102+VPJ41019,PQ2,,
VPJ41020,VPJ41020,PQ2,,
VPJ41021,VPJ41021,PQ2,,
VPJ41022,VPJ41022,PQ2,,
VPJ41104,VPJ41020+VPJ41021+VPJ41022,PQ2,,
VPJ41183,VPJ41098+VPJ41101+VPJ41104,PQ2,,
VPJ41023,VAJ41023,PQ2,,
VPJ41106,"IF(VPJ41095<0,-VPJ41095,0)",PQ2,,
VPJ41107,VAJ41023,PQ2,,
VPJ41024,VPJ41024,PQ2,,
VPJ41109,"IF(VPJ41106>0 && VPJ41024<0, -VPJ41024, 0)",PQ2,,
VPJ41110,VPJ41023+VPJ41106+VPJ41107+VPJ41024+VPJ41109,PQ2,,
VPJ41025,VAJ41025,PQ2,,
VPJ41111,"IF(VTJ41002 <0,-VTJ41002, 0)",PQ2,,
VPJ41112,VAJ41025,PQ2,,
VPJ41026,VPJ41026,PQ2,,
VPJ41113,"IF(VPJ41111>0 && VPJ41026<0, -VPJ41026, 0)",PQ2,,
VPJ41114,VPJ41025+VPJ41111+VPJ41112+VPJ41026+VPJ41113,PQ2,,
VPJ41027,VPJ41027,PQ2,,
VPJ41028,VPJ41028,PQ2,,
VPJ41029,VPJ41029,PQ2,,
VPJ41115,VPJ41027+VPJ41028+VPJ41029,PQ2,,
VPJ41105,VPJ41110+VPJ41114+VPJ41115,PQ2,,
VPJ41030,VAJ41030,PQ2,,
VPJ41031,VPJ41031,PQ2,,
VPJ41117,VPJ41030+VPJ41031,PQ2,,
VPJ41032,VAJ41032,PQ2,,
VPJ41033,VPJ41033,PQ2,,
VPJ41118,VPJ41032+VPJ41033,PQ2,,
VPJ41034,VPJ41034,PQ2,,
VPJ41035,VPJ41035,PQ2,,
VPJ41036,VPJ41036,PQ2,,
VPJ41119,VPJ41034+VPJ41035+VPJ41036,PQ2,,
VPJ41116,VPJ41117+VPJ41118+VPJ41119,PQ2,,
VPJ41037,VAJ41037,PQ2,,
VPJ41038,VPJ41038,PQ2,,
VPJ41121,VPJ41037+VPJ41038,PQ2,,
VPJ41039,VAJ41039,PQ2,,
VPJ41040,VPJ41040,PQ2,,
VPJ41122,VPJ41039+VPJ41040,PQ2,,
VPJ41041,VPJ41041,PQ2,,
VPJ41042,VPJ41042,PQ2,,
VPJ41043,VPJ41043,PQ2,,
VPJ41123,VPJ41041+VPJ41042+VPJ41043,PQ2,,
VPJ41120,VPJ41121+VPJ41122+VPJ41123,PQ2,,
VPJ41125,VPJ41110+VPJ41117+VPJ41121,PQ2,,
VPJ41126,VPJ41114+VPJ41118+VPJ41122,PQ2,,
VPJ41127,VPJ41027+VPJ41034+VPJ41041,PQ2,,
VPJ41128,VPJ41028+VPJ41035+VPJ41042,PQ2,,
VPJ41129,VPJ41029+VPJ41036+VPJ41043,PQ2,,
VPJ41124,VPJ41125+VPJ41126+VPJ41127+VPJ41128+VPJ41129,PQ2,,
VPJ41044,VAJ41044,PQ2,,
VPJ41045,VPJ41045,PQ2,,
VPJ41131,VPJ41044+VPJ41045,PQ2,,
VPJ41046,VAJ41046,PQ2,,
VPJ41047,VPJ41047,PQ2,,
VPJ41132,VPJ41046+VPJ41047,PQ2,,
VPJ41048,VPJ41048,PQ2,,
VPJ41049,VPJ41049,PQ2,,
VPJ41050,VPJ41050,PQ2,,
VPJ41133,VPJ41048+VPJ41049+VPJ41050,PQ2,,
VPJ41130,VPJ41131+VPJ41132+VPJ41133,PQ2,,
VPJ41051,VAJ41051,PQ2,,
VPJ41052,VPJ41052,PQ2,,
VPJ41135,VPJ41051+VPJ41052,PQ2,,
VPJ41053,VAJ41053,PQ2,,
VPJ41054,VPJ41054,PQ2,,
VPJ41136,VPJ41053+VPJ41054,PQ2,,
VPJ41055,VPJ41055,PQ2,,
VPJ41056,VPJ41056,PQ2,,
VPJ41057,VPJ41057,PQ2,,
VPJ41137,VPJ41055+VPJ41056+VPJ41057,PQ2,,
VPJ41134,VPJ41135+VPJ41136+VPJ41137,PQ2,,
VPJ41058,VAJ41058,PQ2,,
VPJ41059,VPJ41059,PQ2,,
VPJ41139,VPJ41058+VPJ41059,PQ2,,
VPJ41060,VAJ41060,PQ2,,
VPJ41061,VPJ41061,PQ2,,
VPJ41140,VPJ41060+VPJ41061,PQ2,,
VPJ41062,VPJ41062,PQ2,,
VPJ41063,VPJ41063,PQ2,,
VPJ41064,VPJ41064,PQ2,,
VPJ41141,VPJ41062+VPJ41063+VPJ41064,PQ2,,
VPJ41138,VPJ41139+VPJ41140+VPJ41141,PQ2,,
VPJ41143,VPJ41131+VPJ41135+VPJ41139,PQ2,,
VPJ41144,VPJ41132+VPJ41136+VPJ41140,PQ2,,
VPJ41145,VPJ41048+VPJ41055+VPJ41062,PQ2,,
VPJ41146,VPJ41049+VPJ41056+VPJ41063,PQ2,,
VPJ41147,VPJ41050+VPJ41057+VPJ41064,PQ2,,
VPJ41142,VPJ41143+VPJ41144+VPJ41145+VPJ41146+VPJ41147,PQ2,,
VPJ41065,VPJ41065,PQ2,,
VPJ41066,VPJ41066,PQ2,,
VPJ41184,VPJ41065+VPJ41066,PQ2,,
VPJ41067,VPJ41067,PQ2,,
VPJ41068,VPJ41068,PQ2,,
VPJ41185,VPJ41067+VPJ41068,PQ2,,
VPJ41069,VPJ41069,PQ2,,
VPJ41070,VPJ41070,PQ2,,
VPJ41186,VPJ41069+VPJ41070,PQ2,,
VPJ73002,VPJ73002,PQ2,,
VPJ73003,VPJ73003,PQ2,,
VPJ73001,VPJ73002+VPJ73003,PQ2,,
VPJ41156,VPJ41065+VPJ41067+VPJ41069+VPJ73002,PQ2,,
VPJ41157,VPJ41066+VPJ41068+VPJ41070+VPJ73003,PQ2,,
VPJ41155,VPJ41156+VPJ41157,PQ2,,
VPJ41149,VPJ41098+VPJ41106+VPJ41107+VPJ41024+VPJ41109-VPJ41125-VPJ41143+VPJ41031+VPJ41038+VPJ41045+VPJ41052+VPJ41059,PQ2,,
VPJ41150,VPJ41101-VPJ41126-VPJ41144+VPJ41111+VPJ41112+VPJ41026+VPJ41113+VPJ41033+VPJ41040+VPJ41047+VPJ41054+VPJ41061,PQ2,,
VPJ41151,VPJ41020+VPJ41127+VPJ41145-(VAJ41127+VAJ41145),PQ2,,
VPJ41152,VPJ41021-VPJ41128-VPJ41146+VPJ41028-VAJ41028+VPJ41035-VAJ41035+VPJ41042-VAJ41042+VPJ41049-VAJ41049+VPJ41056-VAJ41056+VPJ41063-VAJ41063,PQ2,,
VPJ41153,VPJ41022-VPJ41129-VPJ41147+VPJ41029-VAJ41029+VPJ41036-VAJ41036+VPJ41043-VAJ41043+VPJ41050-VAJ41050+VPJ41057-VAJ41057+VPJ41064-VAJ41064,PQ2,,
VPJ41154,VPJ41151+VPJ41152+VPJ41153,PQ2,,
VPJ41148,VPJ41149+VPJ41150+VPJ41151+VPJ41152+VPJ41153,PQ2,,
VPJ41159,VPJ41149-VPJ41156,PQ2,,
VPJ41160,VPJ41150-VPJ41157,PQ2,,
VPJ41161,VPJ41154,PQ2,,
VPJ41158,VPJ41159+VPJ41160+VPJ41161,PQ2,,
VPJ41071,VPJ41071,PQ2,,
VPJ41072,VPJ41072,PQ2,,
VPJ41073,VPJ41073,PQ2,,
VPJ41162,VPJ41071+VPJ41072+VPJ41073,PQ2,,
VPJ41074,VPJ41074,PQ2,,
VPJ41075,VPJ41075,PQ2,,
VPJ41076,VPJ41076,PQ2,,
VPJ41163,VPJ41074+VPJ41075+VPJ41076,PQ2,,
VPJ41077,VPJ41077,PQ2,,
VPJ41078,VPJ41078,PQ2,,
VPJ41079,VPJ41079,PQ2,,
VPJ41168,VPJ41077+VPJ41078+VPJ41079,PQ2,,
VPJ41080,VPJ41080,PQ2,,
VPJ41081,VPJ41081,PQ2,,
VPJ41082,VPJ41082,PQ2,,
VPJ41169,VPJ41080+VPJ41081+VPJ41082,PQ2,,
VPJ41083,VPJ41083,PQ2,,
VPJ41084,VPJ41084,PQ2,,
VPJ41085,VPJ41085,PQ2,,
VPJ41170,VPJ41083+VPJ41084+VPJ41085,PQ2,,
VPJ41192,VPJ41192,PQ2,,
VPJ41193,VPJ41193,PQ2,,
VPJ41194,VPJ41194,PQ2,,
VPJ41171,VPJ41192+VPJ41193+VPJ41194,PQ2,,
VPJ41172,VPJ41071+VPJ41074+VPJ41077+VPJ41080+VPJ41083+VPJ41192,PQ2,,
VPJ41173,VPJ41072+VPJ41075+VPJ41078+VPJ41081+VPJ41084+VPJ41193,PQ2,,
VPJ41174,VPJ41073+VPJ41076+VPJ41179+VPJ41082+VPJ41085+VPJ41194,PQ2,,
VPJ41177,VPJ41159-VPJ41162,PQ2,,
VPJ41178,VPJ41160-VPJ41163,PQ2,,
VPJ41179,VPJ41151-VPJ41168,PQ2,,
VPJ41180,VPJ41152-VPJ41169,PQ2,,
VPJ41181,VPJ41153-VPJ41170,PQ2,,
VPJ41182,VPJ41179+VPJ41180+VPJ41181,PQ2,,
VPJ41176,VPJ41177+VPJ41178+VPJ41179+VPJ41180+VPJ41181,PQ2,,
VPJ41175,"IF(VPJ41177<0,VPJ41177,0)+IF(VPJ41178<0,VPJ41178,0)+IF(VPJ41179<0,VPJ41179,0)+IF(VPJ41180<0,VPJ41180,0)+IF(VPJ41181<0,VPJ41181,0)",PQ2,,
VPJ41187,"IF(VPJ41177>=0,VPJ41177,0)+IF(VPJ41178>=0,VPJ41178,0)+IF(VPJ41179>=0,VPJ41179,0)+IF(VPJ41180>=0,VPJ41180,0)+IF(VPJ41181>=0,VPJ41181,0)",PQ2,,
YZSI4310,YZSI4310,PQ3,,
VPJ41188,YZSI4310(PQ1)+YZSI4310(PQ2)+YZSI4310(PQ3)+YZSI4310(PQ4),PQ3,,
VPJ41086,VPJ41188,PQ3,,
VTJ41003,"VTJ41003' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ3,,
VTJ41004,"VTJ41004' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ3,,
VTJ41005,"VTJ41005' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ3,,
VTJ41006,"VTJ41006' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ3,,
VPJ41092,VTJ41003+VTJ41004+VTJ41005+VTJ41006,PQ3,,
VPJ41093,(VPJ41086*VTJ41001)+VPJ41092,PQ3,,
VTJ41002,"VTJ41002' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))*VPJ41093-VTJ41005-VTJ41006/0.65",PQ3,,
VPJ41095,(VPJ41093-VTJ41002)*VTJ41001,PQ3,,
VPJ41096,YZSI4302,PQ3,,
VPJ41097,VPJ41095-VPJ41096,PQ3,,
VPJ41018,VAJ41018,PQ3,,
VPJ22012,YZSPB530+VPJ22010(PQ3)-VPJ22010(PQ2)+VPJ23003(PQ3)-VPJ23003(PQ2)+VPJ23002(PQ3)-VPJ23002(PQ2),PQ3,,
VPJ41189,YZSI3123+ROARW923+VPJ22012,PQ3,,
VPJ41099,VPJ41189*VTJ41010,PQ3,,
VPJ41098,VPJ41099+VPJ41018,PQ3,,
VPJ41102,VPJ41189*VTJ41011,PQ3,,
VPJ41019,VAJ41019,PQ3,,
VPJ41101,VPJ41102+VPJ41019,PQ3,,
VPJ41020,VPJ41020,PQ3,,
VPJ41021,VPJ41021,PQ3,,
VPJ41022,VPJ41022,PQ3,,
VPJ41104,VPJ41020+VPJ41021+VPJ41022,PQ3,,
VPJ41183,VPJ41098+VPJ41101+VPJ41104,PQ3,,
VPJ41023,VAJ41023,PQ3,,
VPJ41106,"IF(VPJ41095<0,-VPJ41095,0)",PQ3,,
VPJ41107,VAJ41023,PQ3,,
VPJ41024,VPJ41024,PQ3,,
VPJ41109,"IF(VPJ41106>0 && VPJ41024<0, -VPJ41024, 0)",PQ3,,
VPJ41110,VPJ41023+VPJ41106+VPJ41107+VPJ41024+VPJ41109,PQ3,,
VPJ41025,VAJ41025,PQ3,,
VPJ41111,"IF(VTJ41002 <0,-VTJ41002, 0)",PQ3,,
VPJ41112,VAJ41025,PQ3,,
VPJ41026,VPJ41026,PQ3,,
VPJ41113,"IF(VPJ41111>0 && VPJ41026<0, -VPJ41026, 0)",PQ3,,
VPJ41114,VPJ41025+VPJ41111+VPJ41112+VPJ41026+VPJ41113,PQ3,,
VPJ41027,VPJ41027,PQ3,,
VPJ41028,VPJ41028,PQ3,,
VPJ41029,VPJ41029,PQ3,,
VPJ41115,VPJ41027+VPJ41028+VPJ41029,PQ3,,
VPJ41105,VPJ41110+VPJ41114+VPJ41115,PQ3,,
VPJ41030,VAJ41030,PQ3,,
VPJ41031,VPJ41031,PQ3,,
VPJ41117,VPJ41030+VPJ41031,PQ3,,
VPJ41032,VAJ41032,PQ3,,
VPJ41033,VPJ41033,PQ3,,
VPJ41118,VPJ41032+VPJ41033,PQ3,,
VPJ41034,VPJ41034,PQ3,,
VPJ41035,VPJ41035,PQ3,,
VPJ41036,VPJ41036,PQ3,,
VPJ41119,VPJ41034+VPJ41035+VPJ41036,PQ3,,
VPJ41116,VPJ41117+VPJ41118+VPJ41119,PQ3,,
VPJ41037,VAJ41037,PQ3,,
VPJ41038,VPJ41038,PQ3,,
VPJ41121,VPJ41037+VPJ41038,PQ3,,
VPJ41039,VAJ41039,PQ3,,
VPJ41040,VPJ41040,PQ3,,
VPJ41122,VPJ41039+VPJ41040,PQ3,,
VPJ41041,VPJ41041,PQ3,,
VPJ41042,VPJ41042,PQ3,,
VPJ41043,VPJ41043,PQ3,,
VPJ41123,VPJ41041+VPJ41042+VPJ41043,PQ3,,
VPJ41120,VPJ41121+VPJ41122+VPJ41123,PQ3,,
VPJ41125,VPJ41110+VPJ41117+VPJ41121,PQ3,,
VPJ41126,VPJ41114+VPJ41118+VPJ41122,PQ3,,
VPJ41127,VPJ41027+VPJ41034+VPJ41041,PQ3,,
VPJ41128,VPJ41028+VPJ41035+VPJ41042,PQ3,,
VPJ41129,VPJ41029+VPJ41036+VPJ41043,PQ3,,
VPJ41124,VPJ41125+VPJ41126+VPJ41127+VPJ41128+VPJ41129,PQ3,,
VPJ41044,VAJ41044,PQ3,,
VPJ41045,VPJ41045,PQ3,,
VPJ41131,VPJ41044+VPJ41045,PQ3,,
VPJ41046,VAJ41046,PQ3,,
VPJ41047,VPJ41047,PQ3,,
VPJ41132,VPJ41046+VPJ41047,PQ3,,
VPJ41048,VPJ41048,PQ3,,
VPJ41049,VPJ41049,PQ3,,
VPJ41050,VPJ41050,PQ3,,
VPJ41133,VPJ41048+VPJ41049+VPJ41050,PQ3,,
VPJ41130,VPJ41131+VPJ41132+VPJ41133,PQ3,,
VPJ41051,VAJ41051,PQ3,,
VPJ41052,VPJ41052,PQ3,,
VPJ41135,VPJ41051+VPJ41052,PQ3,,
VPJ41053,VAJ41053,PQ3,,
VPJ41054,VPJ41054,PQ3,,
VPJ41136,VPJ41053+VPJ41054,PQ3,,
VPJ41055,VPJ41055,PQ3,,
VPJ41056,VPJ41056,PQ3,,
VPJ41057,VPJ41057,PQ3,,
VPJ41137,VPJ41055+VPJ41056+VPJ41057,PQ3,,
VPJ41134,VPJ41135+VPJ41136+VPJ41137,PQ3,,
VPJ41058,VAJ41058,PQ3,,
VPJ41059,VPJ41059,PQ3,,
VPJ41139,VPJ41058+VPJ41059,PQ3,,
VPJ41060,VAJ41060,PQ3,,
VPJ41061,VPJ41061,PQ3,,
VPJ41140,VPJ41060+VPJ41061,PQ3,,
VPJ41062,VPJ41062,PQ3,,
VPJ41063,VPJ41063,PQ3,,
VPJ41064,VPJ41064,PQ3,,
VPJ41141,VPJ41062+VPJ41063+VPJ41064,PQ3,,
VPJ41138,VPJ41139+VPJ41140+VPJ41141,PQ3,,
VPJ41143,VPJ41131+VPJ41135+VPJ41139,PQ3,,
VPJ41144,VPJ41132+VPJ41136+VPJ41140,PQ3,,
VPJ41145,VPJ41048+VPJ41055+VPJ41062,PQ3,,
VPJ41146,VPJ41049+VPJ41056+VPJ41063,PQ3,,
VPJ41147,VPJ41050+VPJ41057+VPJ41064,PQ3,,
VPJ41142,VPJ41143+VPJ41144+VPJ41145+VPJ41146+VPJ41147,PQ3,,
VPJ41065,VPJ41065,PQ3,,
VPJ41066,VPJ41066,PQ3,,
VPJ41184,VPJ41065+VPJ41066,PQ3,,
VPJ41067,VPJ41067,PQ3,,
VPJ41068,VPJ41068,PQ3,,
VPJ41185,VPJ41067+VPJ41068,PQ3,,
VPJ41069,VPJ41069,PQ3,,
VPJ41070,VPJ41070,PQ3,,
VPJ41186,VPJ41069+VPJ41070,PQ3,,
VPJ73002,VPJ73002,PQ3,,
VPJ73003,VPJ73003,PQ3,,
VPJ73001,VPJ73002+VPJ73003,PQ3,,
VPJ41156,VPJ41065+VPJ41067+VPJ41069+VPJ73002,PQ3,,
VPJ41157,VPJ41066+VPJ41068+VPJ41070+VPJ73003,PQ3,,
VPJ41155,VPJ41156+VPJ41157,PQ3,,
VPJ41149,VPJ41098+VPJ41106+VPJ41107+VPJ41024+VPJ41109-VPJ41125-VPJ41143+VPJ41031+VPJ41038+VPJ41045+VPJ41052+VPJ41059,PQ3,,
VPJ41150,VPJ41101-VPJ41126-VPJ41144+VPJ41111+VPJ41112+VPJ41026+VPJ41113+VPJ41033+VPJ41040+VPJ41047+VPJ41054+VPJ41061,PQ3,,
VPJ41151,VPJ41020+VPJ41127+VPJ41145-(VAJ41127+VAJ41145),PQ3,,
VPJ41152,VPJ41021-VPJ41128-VPJ41146+VPJ41028-VAJ41028+VPJ41035-VAJ41035+VPJ41042-VAJ41042+VPJ41049-VAJ41049+VPJ41056-VAJ41056+VPJ41063-VAJ41063,PQ3,,
VPJ41153,VPJ41022-VPJ41129-VPJ41147+VPJ41029-VAJ41029+VPJ41036-VAJ41036+VPJ41043-VAJ41043+VPJ41050-VAJ41050+VPJ41057-VAJ41057+VPJ41064-VAJ41064,PQ3,,
VPJ41154,VPJ41151+VPJ41152+VPJ41153,PQ3,,
VPJ41148,VPJ41149+VPJ41150+VPJ41151+VPJ41152+VPJ41153,PQ3,,
VPJ41159,VPJ41149-VPJ41156,PQ3,,
VPJ41160,VPJ41150-VPJ41157,PQ3,,
VPJ41161,VPJ41154,PQ3,,
VPJ41158,VPJ41159+VPJ41160+VPJ41161,PQ3,,
VPJ41071,VPJ41071,PQ3,,
VPJ41072,VPJ41072,PQ3,,
VPJ41073,VPJ41073,PQ3,,
VPJ41162,VPJ41071+VPJ41072+VPJ41073,PQ3,,
VPJ41074,VPJ41074,PQ3,,
VPJ41075,VPJ41075,PQ3,,
VPJ41076,VPJ41076,PQ3,,
VPJ41163,VPJ41074+VPJ41075+VPJ41076,PQ3,,
VPJ41077,VPJ41077,PQ3,,
VPJ41078,VPJ41078,PQ3,,
VPJ41079,VPJ41079,PQ3,,
VPJ41168,VPJ41077+VPJ41078+VPJ41079,PQ3,,
VPJ41080,VPJ41080,PQ3,,
VPJ41081,VPJ41081,PQ3,,
VPJ41082,VPJ41082,PQ3,,
VPJ41169,VPJ41080+VPJ41081+VPJ41082,PQ3,,
VPJ41083,VPJ41083,PQ3,,
VPJ41084,VPJ41084,PQ3,,
VPJ41085,VPJ41085,PQ3,,
VPJ41170,VPJ41083+VPJ41084+VPJ41085,PQ3,,
VPJ41192,VPJ41192,PQ3,,
VPJ41193,VPJ41193,PQ3,,
VPJ41194,VPJ41194,PQ3,,
VPJ41171,VPJ41192+VPJ41193+VPJ41194,PQ3,,
VPJ41172,VPJ41071+VPJ41074+VPJ41077+VPJ41080+VPJ41083+VPJ41192,PQ3,,
VPJ41173,VPJ41072+VPJ41075+VPJ41078+VPJ41081+VPJ41084+VPJ41193,PQ3,,
VPJ41174,VPJ41073+VPJ41076+VPJ41179+VPJ41082+VPJ41085+VPJ41194,PQ3,,
VPJ41177,VPJ41159-VPJ41162,PQ3,,
VPJ41178,VPJ41160-VPJ41163,PQ3,,
VPJ41179,VPJ41151-VPJ41168,PQ3,,
VPJ41180,VPJ41152-VPJ41169,PQ3,,
VPJ41181,VPJ41153-VPJ41170,PQ3,,
VPJ41182,VPJ41179+VPJ41180+VPJ41181,PQ3,,
VPJ41176,VPJ41177+VPJ41178+VPJ41179+VPJ41180+VPJ41181,PQ3,,
VPJ41175,"IF(VPJ41177<0,VPJ41177,0)+IF(VPJ41178<0,VPJ41178,0)+IF(VPJ41179<0,VPJ41179,0)+IF(VPJ41180<0,VPJ41180,0)+IF(VPJ41181<0,VPJ41181,0)",PQ3,,
VPJ41187,"IF(VPJ41177>=0,VPJ41177,0)+IF(VPJ41178>=0,VPJ41178,0)+IF(VPJ41179>=0,VPJ41179,0)+IF(VPJ41180>=0,VPJ41180,0)+IF(VPJ41181>=0,VPJ41181,0)",PQ3,,
YZSI4310,YZSI4310,PQ4,,
VPJ41188,YZSI4310(PQ1)+YZSI4310(PQ2)+YZSI4310(PQ3)+YZSI4310(PQ4),PQ4,,
VPJ41086,VPJ41188,PQ4,,
VTJ41003,"VTJ41003' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))",PQ4,,
