"","Code","Formula","Period","Cvalue"
"347","VTJ41004","VTJ41004' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ2",NA
"348","VTJ41005","VTJ41005' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ2",NA
"349","VTJ41006","VTJ41006' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ2",NA
"350","VPJ41092","VTJ41003+VTJ41004+VTJ41005+VTJ41006","PQ2",NA
"351","VPJ41093","(VPJ41086*VTJ41001)+VPJ41092","PQ2",NA
"352","VTJ41002","VTJ41002' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))*VPJ41093-VTJ41005-VTJ41006/0.65","PQ2",NA
"353","VPJ41095","(VPJ41093-VTJ41002)*VTJ41001","PQ2",NA
"354","VPJ41096","YZSI4302","PQ2",NA
"355","VPJ41097","VPJ41095-VPJ41096","PQ2",NA
"356","VPJ41018","VAJ41018","PQ2",NA
"357","VPJ22012","YZSPB530+VPJ22010(PQ2)-VPJ22010(PQ1)+VPJ23003(PQ2)-VPJ23003(PQ1)+VPJ23002(PQ2)-VPJ23002(PQ1)","PQ2",NA
"358","VPJ41189","YZSI3123+ROARW923+VPJ22012","PQ2",NA
"359","VPJ41099","VPJ41189*VTJ41010","PQ2",NA
"360","VPJ41098","VPJ41099+VPJ41018","PQ2",NA
"361","VPJ41102","VPJ41189*VTJ41011","PQ2",NA
"362","VPJ41019","VAJ41019","PQ2",NA
"363","VPJ41101","VPJ41102+VPJ41019","PQ2",NA
"364","VPJ41020","VPJ41020","PQ2",NA
"365","VPJ41021","VPJ41021","PQ2",NA
"366","VPJ41022","VPJ41022","PQ2",NA
"367","VPJ41104","VPJ41020+VPJ41021+VPJ41022","PQ2",NA
"368","VPJ41183","VPJ41098+VPJ41101+VPJ41104","PQ2",NA
"369","VPJ41023","VAJ41023","PQ2",NA
"370","VPJ41106","IF(VPJ41095<0,-VPJ41095,0)","PQ2",NA
"371","VPJ41107","VAJ41023","PQ2",NA
"372","VPJ41024","VPJ41024","PQ2",NA
"373","VPJ41109","IF(VPJ41106>0 && VPJ41024<0, -VPJ41024, 0)","PQ2",NA
"374","VPJ41110","VPJ41023+VPJ41106+VPJ41107+VPJ41024+VPJ41109","PQ2",NA
"375","VPJ41025","VAJ41025","PQ2",NA
"376","VPJ41111","IF(VTJ41002 <0,-VTJ41002, 0)","PQ2",NA
"377","VPJ41112","VAJ41025","PQ2",NA
"378","VPJ41026","VPJ41026","PQ2",NA
"379","VPJ41113","IF(VPJ41111>0 && VPJ41026<0, -VPJ41026, 0)","PQ2",NA
"380","VPJ41114","VPJ41025+VPJ41111+VPJ41112+VPJ41026+VPJ41113","PQ2",NA
"381","VPJ41027","VPJ41027","PQ2",NA
"382","VPJ41028","VPJ41028","PQ2",NA
"383","VPJ41029","VPJ41029","PQ2",NA
"384","VPJ41115","VPJ41027+VPJ41028+VPJ41029","PQ2",NA
"385","VPJ41105","VPJ41110+VPJ41114+VPJ41115","PQ2",NA
"386","VPJ41030","VAJ41030","PQ2",NA
"387","VPJ41031","VPJ41031","PQ2",NA
"388","VPJ41117","VPJ41030+VPJ41031","PQ2",NA
"389","VPJ41032","VAJ41032","PQ2",NA
"390","VPJ41033","VPJ41033","PQ2",NA
"391","VPJ41118","VPJ41032+VPJ41033","PQ2",NA
"392","VPJ41034","VPJ41034","PQ2",NA
"393","VPJ41035","VPJ41035","PQ2",NA
"394","VPJ41036","VPJ41036","PQ2",NA
"395","VPJ41119","VPJ41034+VPJ41035+VPJ41036","PQ2",NA
"396","VPJ41116","VPJ41117+VPJ41118+VPJ41119","PQ2",NA
"397","VPJ41037","VAJ41037","PQ2",NA
"398","VPJ41038","VPJ41038","PQ2",NA
"399","VPJ41121","VPJ41037+VPJ41038","PQ2",NA
"400","VPJ41039","VAJ41039","PQ2",NA
"401","VPJ41040","VPJ41040","PQ2",NA
"402","VPJ41122","VPJ41039+VPJ41040","PQ2",NA
"403","VPJ41041","VPJ41041","PQ2",NA
"404","VPJ41042","VPJ41042","PQ2",NA
"405","VPJ41043","VPJ41043","PQ2",NA
"406","VPJ41123","VPJ41041+VPJ41042+VPJ41043","PQ2",NA
"407","VPJ41120","VPJ41121+VPJ41122+VPJ41123","PQ2",NA
"408","VPJ41125","VPJ41110+VPJ41117+VPJ41121","PQ2",NA
"409","VPJ41126","VPJ41114+VPJ41118+VPJ41122","PQ2",NA
"410","VPJ41127","VPJ41027+VPJ41034+VPJ41041","PQ2",NA
"411","VPJ41128","VPJ41028+VPJ41035+VPJ41042","PQ2",NA
"412","VPJ41129","VPJ41029+VPJ41036+VPJ41043","PQ2",NA
"413","VPJ41124","VPJ41125+VPJ41126+VPJ41127+VPJ41128+VPJ41129","PQ2",NA
"414","VPJ41044","VAJ41044","PQ2",NA
"415","VPJ41045","VPJ41045","PQ2",NA
"416","VPJ41131","VPJ41044+VPJ41045","PQ2",NA
"417","VPJ41046","VAJ41046","PQ2",NA
"418","VPJ41047","VPJ41047","PQ2",NA
"419","VPJ41132","VPJ41046+VPJ41047","PQ2",NA
"420","VPJ41048","VPJ41048","PQ2",NA
"421","VPJ41049","VPJ41049","PQ2",NA
"422","VPJ41050","VPJ41050","PQ2",NA
"423","VPJ41133","VPJ41048+VPJ41049+VPJ41050","PQ2",NA
"424","VPJ41130","VPJ41131+VPJ41132+VPJ41133","PQ2",NA
"425","VPJ41051","VAJ41051","PQ2",NA
"426","VPJ41052","VPJ41052","PQ2",NA
"427","VPJ41135","VPJ41051+VPJ41052","PQ2",NA
"428","VPJ41053","VAJ41053","PQ2",NA
"429","VPJ41054","VPJ41054","PQ2",NA
"430","VPJ41136","VPJ41053+VPJ41054","PQ2",NA
"431","VPJ41055","VPJ41055","PQ2",NA
"432","VPJ41056","VPJ41056","PQ2",NA
"433","VPJ41057","VPJ41057","PQ2",NA
"434","VPJ41137","VPJ41055+VPJ41056+VPJ41057","PQ2",NA
"435","VPJ41134","VPJ41135+VPJ41136+VPJ41137","PQ2",NA
"436","VPJ41058","VAJ41058","PQ2",NA
"437","VPJ41059","VPJ41059","PQ2",NA
"438","VPJ41139","VPJ41058+VPJ41059","PQ2",NA
"439","VPJ41060","VAJ41060","PQ2",NA
"440","VPJ41061","VPJ41061","PQ2",NA
"441","VPJ41140","VPJ41060+VPJ41061","PQ2",NA
"442","VPJ41062","VPJ41062","PQ2",NA
"443","VPJ41063","VPJ41063","PQ2",NA
"444","VPJ41064","VPJ41064","PQ2",NA
"445","VPJ41141","VPJ41062+VPJ41063+VPJ41064","PQ2",NA
"446","VPJ41138","VPJ41139+VPJ41140+VPJ41141","PQ2",NA
"447","VPJ41143","VPJ41131+VPJ41135+VPJ41139","PQ2",NA
"448","VPJ41144","VPJ41132+VPJ41136+VPJ41140","PQ2",NA
"449","VPJ41145","VPJ41048+VPJ41055+VPJ41062","PQ2",NA
"450","VPJ41146","VPJ41049+VPJ41056+VPJ41063","PQ2",NA
"451","VPJ41147","VPJ41050+VPJ41057+VPJ41064","PQ2",NA
"452","VPJ41142","VPJ41143+VPJ41144+VPJ41145+VPJ41146+VPJ41147","PQ2",NA
"453","VPJ41065","VPJ41065","PQ2",NA
"454","VPJ41066","VPJ41066","PQ2",NA
"455","VPJ41184","VPJ41065+VPJ41066","PQ2",NA
"456","VPJ41067","VPJ41067","PQ2",NA
"457","VPJ41068","VPJ41068","PQ2",NA
"458","VPJ41185","VPJ41067+VPJ41068","PQ2",NA
"459","VPJ41069","VPJ41069","PQ2",NA
"460","VPJ41070","VPJ41070","PQ2",NA
"461","VPJ41186","VPJ41069+VPJ41070","PQ2",NA
"462","VPJ73002","VPJ73002","PQ2",NA
"463","VPJ73003","VPJ73003","PQ2",NA
"464","VPJ73001","VPJ73002+VPJ73003","PQ2",NA
"465","VPJ41156","VPJ41065+VPJ41067+VPJ41069+VPJ73002","PQ2",NA
"466","VPJ41157","VPJ41066+VPJ41068+VPJ41070+VPJ73003","PQ2",NA
"467","VPJ41155","VPJ41156+VPJ41157","PQ2",NA
"468","VPJ41149","VPJ41098+VPJ41106+VPJ41107+VPJ41024+VPJ41109-VPJ41125-VPJ41143+VPJ41031+VPJ41038+VPJ41045+VPJ41052+VPJ41059","PQ2",NA
"469","VPJ41150","VPJ41101-VPJ41126-VPJ41144+VPJ41111+VPJ41112+VPJ41026+VPJ41113+VPJ41033+VPJ41040+VPJ41047+VPJ41054+VPJ41061","PQ2",NA
"470","VPJ41151","VPJ41020+VPJ41127+VPJ41145-(VAJ41127+VAJ41145)","PQ2",NA
"471","VPJ41152","VPJ41021-VPJ41128-VPJ41146+VPJ41028-VAJ41028+VPJ41035-VAJ41035+VPJ41042-VAJ41042+VPJ41049-VAJ41049+VPJ41056-VAJ41056+VPJ41063-VAJ41063","PQ2",NA
"472","VPJ41153","VPJ41022-VPJ41129-VPJ41147+VPJ41029-VAJ41029+VPJ41036-VAJ41036+VPJ41043-VAJ41043+VPJ41050-VAJ41050+VPJ41057-VAJ41057+VPJ41064-VAJ41064","PQ2",NA
"473","VPJ41154","VPJ41151+VPJ41152+VPJ41153","PQ2",NA
"474","VPJ41148","VPJ41149+VPJ41150+VPJ41151+VPJ41152+VPJ41153","PQ2",NA
"475","VPJ41159","VPJ41149-VPJ41156","PQ2",NA
"476","VPJ41160","VPJ41150-VPJ41157","PQ2",NA
"477","VPJ41161","VPJ41154","PQ2",NA
"478","VPJ41158","VPJ41159+VPJ41160+VPJ41161","PQ2",NA
"479","VPJ41071","VPJ41071","PQ2",NA
"480","VPJ41072","VPJ41072","PQ2",NA
"481","VPJ41073","VPJ41073","PQ2",NA
"482","VPJ41162","VPJ41071+VPJ41072+VPJ41073","PQ2",NA
"483","VPJ41074","VPJ41074","PQ2",NA
"484","VPJ41075","VPJ41075","PQ2",NA
"485","VPJ41076","VPJ41076","PQ2",NA
"486","VPJ41163","VPJ41074+VPJ41075+VPJ41076","PQ2",NA
"487","VPJ41077","VPJ41077","PQ2",NA
"488","VPJ41078","VPJ41078","PQ2",NA
"489","VPJ41079","VPJ41079","PQ2",NA
"490","VPJ41168","VPJ41077+VPJ41078+VPJ41079","PQ2",NA
"491","VPJ41080","VPJ41080","PQ2",NA
"492","VPJ41081","VPJ41081","PQ2",NA
"493","VPJ41082","VPJ41082","PQ2",NA
"494","VPJ41169","VPJ41080+VPJ41081+VPJ41082","PQ2",NA
"495","VPJ41083","VPJ41083","PQ2",NA
"496","VPJ41084","VPJ41084","PQ2",NA
"497","VPJ41085","VPJ41085","PQ2",NA
"498","VPJ41170","VPJ41083+VPJ41084+VPJ41085","PQ2",NA
"499","VPJ41192","VPJ41192","PQ2",NA
"500","VPJ41193","VPJ41193","PQ2",NA
"501","VPJ41194","VPJ41194","PQ2",NA
"502","VPJ41171","VPJ41192+VPJ41193+VPJ41194","PQ2",NA
"503","VPJ41172","VPJ41071+VPJ41074+VPJ41077+VPJ41080+VPJ41083+VPJ41192","PQ2",NA
"504","VPJ41173","VPJ41072+VPJ41075+VPJ41078+VPJ41081+VPJ41084+VPJ41193","PQ2",NA
"505","VPJ41174","VPJ41073+VPJ41076+VPJ41179+VPJ41082+VPJ41085+VPJ41194","PQ2",NA
"506","VPJ41177","VPJ41159-VPJ41162","PQ2",NA
"507","VPJ41178","VPJ41160-VPJ41163","PQ2",NA
"508","VPJ41179","VPJ41151-VPJ41168","PQ2",NA
"509","VPJ41180","VPJ41152-VPJ41169","PQ2",NA
"510","VPJ41181","VPJ41153-VPJ41170","PQ2",NA
"511","VPJ41182","VPJ41179+VPJ41180+VPJ41181","PQ2",NA
"512","VPJ41176","VPJ41177+VPJ41178+VPJ41179+VPJ41180+VPJ41181","PQ2",NA
"513","VPJ41175","IF(VPJ41177<0,VPJ41177,0)+IF(VPJ41178<0,VPJ41178,0)+IF(VPJ41179<0,VPJ41179,0)+IF(VPJ41180<0,VPJ41180,0)+IF(VPJ41181<0,VPJ41181,0)","PQ2",NA
"514","VPJ41187","IF(VPJ41177>=0,VPJ41177,0)+IF(VPJ41178>=0,VPJ41178,0)+IF(VPJ41179>=0,VPJ41179,0)+IF(VPJ41180>=0,VPJ41180,0)+IF(VPJ41181>=0,VPJ41181,0)","PQ2",NA
"515","YZSI4310","YZSI4310","PQ3",NA
"516","VPJ41188","YZSI4310(PQ1)+YZSI4310(PQ2)+YZSI4310(PQ3)+YZSI4310(PQ4)","PQ3",NA
"517","VPJ41086","VPJ41188","PQ3",NA
"518","VTJ41003","VTJ41003' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ3",NA
"519","VTJ41004","VTJ41004' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ3",NA
"520","VTJ41005","VTJ41005' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ3",NA
"521","VTJ41006","VTJ41006' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))","PQ3",NA
"522","VPJ41092","VTJ41003+VTJ41004+VTJ41005+VTJ41006","PQ3",NA
"523","VPJ41093","(VPJ41086*VTJ41001)+VPJ41092","PQ3",NA
"524","VTJ41002","VTJ41002' +IF(VPJ41086 <= -5000, 'A' , if(VPJ41086 > -5000 && VPJ41086 <= 0, 'B', if (VPJ41086 > 0 && VPJ41086 <= 5000, 'C', If (VPJ41086 > 5000 && VPJ41086 <= 10000, 'D', if (VPJ41086 > 10000 && VPJ41086 <= 15000, 'E', if(VPJ41086 > 15000 && VPJ41086 <= 20000, 'F', if(VPJ41086 > 20000 && VPJ41086 <= 25000, 'G', if(VPJ41086 > 25000 && VPJ41086 <= 30000, 'H', if(VPJ41086 > 30000 && VPJ41086 <= 35000, 'I', if (VPJ41086 > 35000 && VPJ41086 <= 40000, 'J', if (VPJ41086 > 40000 && VPJ41086 <= 50000, 'K', 'Z')))))))))))*VPJ41093-VTJ41005-VTJ41006/0.65","PQ3",NA
"525","VPJ41095","(VPJ41093-VTJ41002)*VTJ41001","PQ3",NA
"526","VPJ41096","YZSI4302","PQ3",NA
"527","VPJ41097","VPJ41095-VPJ41096","PQ3",NA
"528","VPJ41018","VAJ41018","PQ3",NA
"529","VPJ22012","YZSPB530+VPJ22010(PQ3)-VPJ22010(PQ2)+VPJ23003(PQ3)-VPJ23003(PQ2)+VPJ23002(PQ3)-VPJ23002(PQ2)","PQ3",NA
"530","VPJ41189","YZSI3123+ROARW923+VPJ22012","PQ3",NA
"531","VPJ41099","VPJ41189*VTJ41010","PQ3",NA
"532","VPJ41098","VPJ41099+VPJ41018","PQ3",NA
"533","VPJ41102","VPJ41189*VTJ41011","PQ3",NA
"534","VPJ41019","VAJ41019","PQ3",NA
"535","VPJ41101","VPJ41102+VPJ41019","PQ3",NA
"536","VPJ41020","VPJ41020","PQ3",NA
"537","VPJ41021","VPJ41021","PQ3",NA
"538","VPJ41022","VPJ41022","PQ3",NA
"539","VPJ41104","VPJ41020+VPJ41021+VPJ41022","PQ3",NA
"540","VPJ41183","VPJ41098+VPJ41101+VPJ41104","PQ3",NA
"541","VPJ41023","VAJ41023","PQ3",NA
"542","VPJ41106","IF(VPJ41095<0,-VPJ41095,0)","PQ3",NA
"543","VPJ41107","VAJ41023","PQ3",NA
"544","VPJ41024","VPJ41024","PQ3",NA
"545","VPJ41109","IF(VPJ41106>0 && VPJ41024<0, -VPJ41024, 0)","PQ3",NA
"546","VPJ41110","VPJ41023+VPJ41106+VPJ41107+VPJ41024+VPJ41109","PQ3",NA
"547","VPJ41025","VAJ41025","PQ3",NA
"548","VPJ41111","IF(VTJ41002 <0,-VTJ41002, 0)","PQ3",NA
"549","VPJ41112","VAJ41025","PQ3",NA
"550","VPJ41026","VPJ41026","PQ3",NA
"551","VPJ41113","IF(VPJ41111>0 && VPJ41026<0, -VPJ41026, 0)","PQ3",NA
"552","VPJ41114","VPJ41025+VPJ41111+VPJ41112+VPJ41026+VPJ41113","PQ3",NA
"553","VPJ41027","VPJ41027","PQ3",NA
"554","VPJ41028","VPJ41028","PQ3",NA
"555","VPJ41029","VPJ41029","PQ3",NA
"556","VPJ41115","VPJ41027+VPJ41028+VPJ41029","PQ3",NA
"557","VPJ41105","VPJ41110+VPJ41114+VPJ41115","PQ3",NA
"558","VPJ41030","VAJ41030","PQ3",NA
"559","VPJ41031","VPJ41031","PQ3",NA
"560","VPJ41117","VPJ41030+VPJ41031","PQ3",NA
"561","VPJ41032","VAJ41032","PQ3",NA
"562","VPJ41033","VPJ41033","PQ3",NA
"563","VPJ41118","VPJ41032+VPJ41033","PQ3",NA
"564","VPJ41034","VPJ41034","PQ3",NA
"565","VPJ41035","VPJ41035","PQ3",NA
"566","VPJ41036","VPJ41036","PQ3",NA
"567","VPJ41119","VPJ41034+VPJ41035+VPJ41036","PQ3",NA
"568","VPJ41116","VPJ41117+VPJ41118+VPJ41119","PQ3",NA
"569","VPJ41037","VAJ41037","PQ3",NA
"570","VPJ41038","VPJ41038","PQ3",NA
"571","VPJ41121","VPJ41037+VPJ41038","PQ3",NA
"572","VPJ41039","VAJ41039","PQ3",NA
"573","VPJ41040","VPJ41040","PQ3",NA
"574","VPJ41122","VPJ41039+VPJ41040","PQ3",NA
"575","VPJ41041","VPJ41041","PQ3",NA
"576","VPJ41042","VPJ41042","PQ3",NA
"577","VPJ41043","VPJ41043","PQ3",NA
"578","VPJ41123","VPJ41041+VPJ41042+VPJ41043","PQ3",NA
"579","VPJ41120","VPJ41121+VPJ41122+VPJ41123","PQ3",NA
"580","VPJ41125","VPJ41110+VPJ41117+VPJ41121","PQ3",NA
"581","VPJ41126","VPJ41114+VPJ41118+VPJ41122","PQ3",NA
"582","VPJ41127","VPJ41027+VPJ41034+VPJ41041","PQ3",NA
"583","VPJ41128","VPJ41028+VPJ41035+VPJ41042","PQ3",NA
"584","VPJ41129","VPJ41029+VPJ41036+VPJ41043","PQ3",NA
"585","VPJ41124","VPJ41125+VPJ41126+VPJ41127+VPJ41128+VPJ41129","PQ3",NA
"586","VPJ41044","VAJ41044","PQ3",NA
"587","VPJ41045","VPJ41045","PQ3",NA
"588","VPJ41131","VPJ41044+VPJ41045","PQ3",NA
"589","VPJ41046","VAJ41046","PQ3",NA
"590","VPJ41047","VPJ41047","PQ3",NA
"591","VPJ41132","VPJ41046+VPJ41047","PQ3",NA
"592","VPJ41048","VPJ41048","PQ3",NA
"593","VPJ41049","VPJ41049","PQ3",NA
"594","VPJ41050","VPJ41050","PQ3",NA
"595","VPJ41133","VPJ41048+VPJ41049+VPJ41050","PQ3",NA
"596","VPJ41130","VPJ41131+VPJ41132+VPJ41133","PQ3",NA
"597","VPJ41051","VAJ41051","PQ3",NA
"598","VPJ41052","VPJ41052","PQ3",NA
"599","VPJ41135","VPJ41051+VPJ41052","PQ3",NA
"600","VPJ41053","VAJ41053","PQ3",NA
"601","VPJ41054","VPJ41054","PQ3",NA
"602","VPJ41136","VPJ41053+VPJ41054","PQ3",NA
"603","VPJ41055","VPJ41055","PQ3",NA
"604","VPJ41056","VPJ41056","PQ3",NA
"605","VPJ41057","VPJ41057","PQ3",NA
"606","VPJ41137","VPJ41055+VPJ41056+VPJ41057","PQ3",NA
"607","VPJ41134","VPJ41135+VPJ41136+VPJ41137","PQ3",NA
"608","VPJ41058","VAJ41058","PQ3",NA
"609","VPJ41059","VPJ41059","PQ3",NA
"610","VPJ41139","VPJ41058+VPJ41059","PQ3",NA
"611","VPJ41060","VAJ41060","PQ3",NA
"612","VPJ41061","VPJ41061","PQ3",NA
"613","VPJ41140","VPJ41060+VPJ41061","PQ3",NA
"614","VPJ41062","VPJ41062","PQ3",NA
"615","VPJ41063","VPJ41063","PQ3",NA
"616","VPJ41064","VPJ41064","PQ3",NA
"617","VPJ41141","VPJ41062+VPJ41063+VPJ41064","PQ3",NA
"618","VPJ41138","VPJ41139+VPJ41140+VPJ41141","PQ3",NA
"619","VPJ41143","VPJ41131+VPJ41135+VPJ41139","PQ3",NA
"620","VPJ41144","VPJ41132+VPJ41136+VPJ41140","PQ3",NA
"621","VPJ41145","VPJ41048+VPJ41055+VPJ41062","PQ3",NA
"622","VPJ41146","VPJ41049+VPJ41056+VPJ41063","PQ3",NA
"623","VPJ41147","VPJ41050+VPJ41057+VPJ41064","PQ3",NA
"624","VPJ41142","VPJ41143+VPJ41144+VPJ41145+VPJ41146+VPJ41147","PQ3",NA
"625","VPJ41065","VPJ41065","PQ3",NA
"626","VPJ41066","VPJ41066","PQ3",NA
"627","VPJ41184","VPJ41065+VPJ41066","PQ3",NA
"628","VPJ41067","VPJ41067","PQ3",NA
"629","VPJ41068","VPJ41068","PQ3",NA
"630","VPJ41185","VPJ41067+VPJ41068","PQ3",NA
"631","VPJ41069","VPJ41069","PQ3",NA
"632","VPJ41070","VPJ41070","PQ3",NA
"633","VPJ41186","VPJ41069+VPJ41070","PQ3",NA
"634","VPJ73002","VPJ73002","PQ3",NA
"635","VPJ73003","VPJ73003","PQ3",NA
"636","VPJ73001","VPJ73002+VPJ73003","PQ3",NA
"637","VPJ41156","VPJ41065+VPJ41067+VPJ41069+VPJ73002","PQ3",NA
"638","VPJ41157","VPJ41066+VPJ41068+VPJ41070+VPJ73003","PQ3",NA
"639","VPJ41155","VPJ41156+VPJ41157","PQ3",NA
"640","VPJ41149","VPJ41098+VPJ41106+VPJ41107+VPJ41024+VPJ41109-VPJ41125-VPJ41143+VPJ41031+VPJ41038+VPJ41045+VPJ41052+VPJ41059","PQ3",NA
"641","VPJ41150","VPJ41101-VPJ41126-VPJ41144+VPJ41111+VPJ41112+VPJ41026+VPJ41113+VPJ41033+VPJ41040+VPJ41047+VPJ41054+VPJ41061","PQ3",NA
"642","VPJ41151","VPJ41020+VPJ41127+VPJ41145-(VAJ41127+VAJ41145)","PQ3",NA
"643","VPJ41152","VPJ41021-VPJ41128-VPJ41146+VPJ41028-VAJ41028+VPJ41035-VAJ41035+VPJ41042-VAJ41042+VPJ41049-VAJ41049+VPJ41056-VAJ41056+VPJ41063-VAJ41063","PQ3",NA
"644","VPJ41153","VPJ41022-VPJ41129-VPJ41147+VPJ41029-VAJ41029+VPJ41036-VAJ41036+VPJ41043-VAJ41043+VPJ41050-VAJ41050+VPJ41057-VAJ41057+VPJ41064-VAJ41064","PQ3",NA
"645","VPJ41154","VPJ41151+VPJ41152+VPJ41153","PQ3",NA
"646","VPJ41148","VPJ41149+VPJ41150+VPJ41151+VPJ41152+VPJ41153","PQ3",NA
"647","VPJ41159","VPJ41149-VPJ41156","PQ3",NA
"648","VPJ41160","VPJ41150-VPJ41157","PQ3",NA
"649","VPJ41161","VPJ41154","PQ3",NA
"650","VPJ41158","VPJ41159+VPJ41160+VPJ41161","PQ3",NA
"651","VPJ41071","VPJ41071","PQ3",NA
